airport_code,airport_name,city,country,country_code,latitude,longitude,timezone,is_major_airport
RDD,Redding Municipal Airport,Redding,US,US,40.50899887, -122.2929993,,False
RDG,Reading Regional Airport (Carl A Spaatz Field),Reading,US,US,40.378502, -75.965202,,False
RDM,Roberts Field,Redmond,US,US,44.254101, -121.150002,,False
RDR,Grand Forks Air Force Base,Grand Forks,US,US,47.961101532, -97.4011993408,,False
RDU,Raleigh-Durham International Airport,Raleigh/Durham,US,US,35.878659, -78.7873,,False
REO,Rome State Airport,Rome,US,US,42.5777015686, -117.885002136,,False
RFD,Chicago Rockford International Airport,Chicago/Rockford,US,US,42.1954, -89.097198,,False
RFG,Rooke Field,Refugio,US,US,28.2936, -97.322998,,False
RHI,Rhinelander Oneida County Airport,Rhinelander,US,US,45.63119888305664, -89.46749877929688,,False
RHV,Reid-Hillview Airport of Santa Clara County,San Jose,US,US,37.332901001, -121.819000244,,False
RIC,Richmond International Airport,Richmond,US,US,37.505199, -77.319702,,False
RID,Richmond Municipal Airport,Richmond,US,US,39.757198, -84.842796,,False
RIF,Richfield Municipal Airport,Richfield,US,US,38.734068, -112.101603,,False
RIL,Garfield County Regional Airport,Rifle,US,US,39.526299, -107.726997,,False
RIR,Flabob Airport,Riverside,US,US,33.9897, -117.411003,,False
RIV,March Air Reserve Base,Riverside,US,US,33.880699, -117.259003,,False
RIW,Central Wyoming Regional Airport,Riverton,US,US,43.064201, -108.459999,,False
RKD,Knox County Regional Airport,Rockland,US,US,44.060101, -69.099197,,False
RKP,Aransas County Airport,Rockport,US,US,28.0867996216, -97.0446014404,,False
RKR,Robert S Kerr Airport,Poteau,US,US,35.021599, -94.6213,,False
RKS,Southwest Wyoming Regional Airport,Rock Springs,US,US,41.5942, -109.065001,,False
RKW,Rockwood Municipal Airport,Rockwood,US,US,35.9222984314, -84.6896972656,,False
RLD,Richland Airport,Richland,US,US,46.305599, -119.304001,,False
RME,Griffiss International Airport,Rome,US,US,43.23379898, -75.40699768,,False
RMG,Richard B Russell Airport,Rome,US,US,34.3506011963, -85.15799713130001,,False
RNC,Warren County Memorial Airport,Mc Minnville,US,US,35.69869995, -85.84380341,,False
RND,Randolph Air Force Base,Universal City,US,US,29.529699, -98.2789,,False
RNH,New Richmond Regional Airport,New Richmond,US,US,45.1483, -92.538101,,False
RNO,Reno Tahoe International Airport,Reno,US,US,39.4991, -119.767998,,False
RNT,Renton Municipal Airport,Renton,US,US,47.4930992126, -122.216003418,,False
ROA,Roanoke–Blacksburg Regional Airport,Roanoke,US,US,37.3255, -79.975403,,False
ROC,Frederick Douglass Greater Rochester International Airport,Rochester,US,US,43.1189, -77.672401,,False
ROG,Rogers Municipal Airport-Carter Field,Rogers,US,US,36.37229919, -94.10690308,,False
ROW,Roswell Air Center Airport,Roswell,US,US,33.301601, -104.530998,,False
ROX,Roseau Municipal Rudy Billberg Field,Roseau,US,US,48.855999, -95.696999,,False
RIE,Rice Lake Regional Airport - Carl's Field,Rice Lake,US,US,45.423024, -91.773127,,False
RPX,Roundup Airport,Roundup,US,US,46.475095, -108.541497,,False
WBR,Roben Hood Airport,Big Rapids,US,US,43.7225990295, -85.50409698490002,,False
RQO,El Reno Regional Airport,El Reno,US,US,35.472698, -98.005798,,False
RRL,Merrill Municipal Airport,Merrill,US,US,45.198898, -89.712898,,False
RRT,Warroad International Memorial Airport,Warroad,US,US,48.94139862, -95.3483963,,False
RSL,Russell Municipal Airport,Russell,US,US,38.872100830078, -98.811798095703,,False
RSN,Ruston Regional Airport,Ruston,US,US,32.514187, -92.588517,,False
RST,Rochester International Airport,Rochester,US,US,43.908298, -92.5,,False
RSW,Southwest Florida International Airport,Fort Myers,US,US,26.534685, -81.752816,,False
RTN,Raton Municipal Airport / Crews Field,Raton,US,US,36.741501, -104.501999,,False
SRW,Mid-Carolina Regional Airport,Salisbury,US,US,35.645901, -80.520302,,False
RUT,Rutland - Southern Vermont Regional Airport,Rutland,US,US,43.5294, -72.9496,,False
RED,Mifflin County Airport,Reedsville,US,US,40.6773986816, -77.6268005371,,False
RVS,Tulsa Riverside Airport,Tulsa,US,US,36.0396, -95.984596,,False
RWF,Redwood Falls Municipal Airport,Redwood Falls,US,US,44.547199, -95.082298,,False
RWI,Rocky Mount Wilson Regional Airport,Rocky Mount,US,US,35.8563, -77.891899,,False
RWL,Rawlins Municipal Airport/Harvey Field,Rawlins,US,US,41.80559921, -107.1999969,,False
RXE,Rexburg Madison County Airport,Rexburg,US,US,43.8339, -111.805002,,False
RNZ,Jasper County Airport,Rensselaer,US,US,40.9478988647, -87.1826019287,,False
AHM,Ashland Municipal Airport Sumner Parker Field,Ashland,US,US,42.190265, -122.660648,,False
BDY,Bandon State Airport,Bandon,US,US,43.08649826, -124.4079971,,False
SUO,Sunriver Airport,Sunriver,US,US,43.876301, -121.453003,,False
MDJ,Madras Municipal Airport,Madras,US,US,44.67020035, -121.1549988,,False
PRZ,Prineville Airport,Prineville,US,US,44.286998748779, -120.90399932861,,False
SAA,Shively Field,Saratoga,US,US,41.444901, -106.823997,,False
SAC,Sacramento Executive Airport,Sacramento,US,US,38.5125007629, -121.492996216,,False
SAD,Safford Regional Airport,Safford,US,US,32.85480118, -109.6350021,,False
SAF,Santa Fe Municipal Airport,Santa Fe,US,US,35.6171, -106.088997,,False
SAN,San Diego International Airport,San Diego,US,US,32.733601, -117.190002,,False
SAR,Sparta Community Airport - Hunter Field,Sparta,US,US,38.148899, -89.6987,,False
SAS,Salton Sea Airport,Salton City,US,US,33.2414016724, -115.952003479,,False
SAT,San Antonio International Airport,San Antonio,US,US,29.533701, -98.469803,,False
SAV,Savannah Hilton Head International Airport,Savannah,US,US,32.126591, -81.19998,,False
MQT,Marquette/Sawyer International Airport,Gwinn,US,US,46.351498, -87.395884,,False
SBA,Santa Barbara Municipal Airport,Santa Barbara,US,US,34.426201, -119.839996,,False
SBD,San Bernardino International Airport,San Bernardino,US,US,34.096717, -117.236596,,False
SBM,Sheboygan County Memorial Airport,Sheboygan,US,US,43.76959991, -87.85140228,,False
SBN,South Bend International Airport,South Bend,US,US,41.708304, -86.316922,,False
SBP,San Luis County Regional Airport,San Luis Obispo,US,US,35.236801147499996, -120.641998291,,False
SBS,Steamboat Springs Bob Adams Field,Steamboat Springs,US,US,40.5163002, -106.8659973,,False
SBX,Shelby Airport,Shelby,US,US,48.5406990051, -111.871002197,,False
SBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury,US,US,38.34049987792969, -75.51029968261719,,False
SCB,Scribner State Airport,Scribner,US,US,41.610298, -96.629898,,False
SCH,Schenectady County Airport,Schenectady,US,US,42.852500915527, -73.928901672363,,False
SCK,Stockton Metropolitan Airport,Stockton,US,US,37.893279, -121.238079,,False
SDF,Louisville Muhammad Ali International Airport,Louisville,US,US,38.1706, -85.735076,,False
SCF,Scottsdale Airport,Scottsdale,US,US,33.622898101807, -111.91100311279,,False
SDM,Brown Field Municipal Airport,San Diego,US,US,32.572639, -116.980019,,False
SDY,Sidney - Richland Regional Airport,Sidney,US,US,47.705141, -104.194422,,False
SEA,Seattle–Tacoma International Airport,Seattle,US,US,47.447943, -122.310276,,False
SEE,Gillespie Field,San Diego/El Cajon,US,US,32.826198577881, -116.97200012207,,False
SEF,Sebring Regional Airport,Sebring,US,US,27.45639992, -81.3423996,,False
SEG,Penn Valley Airport,Selinsgrove,US,US,40.820598602295, -76.863899230957,,False
SEM,Craig Field,Selma,US,US,32.343898773193, -86.987800598145,,False
SEP,Stephenville Clark Regional Airport,Stephenville,US,US,32.215302, -98.177696,,False
SER,Freeman Municipal Airport,Seymour,US,US,38.923599243164, -85.907402038574,,False
SDX,Sedona Airport,Sedona,US,US,34.848598480225, -111.78800201416,,False
SFB,Orlando Sanford International Airport,Orlando,US,US,28.774277, -81.234626,,False
